1,,,,,
2,,,.,,Contents
3,,,.,,
4,,,.,,Atomic Relations
5,,,50,,"Atomic Concepts|n, properties and indexicals"
6,,,88,,Metalinguistic Atoms
7,,,109,,Atomic Synonyms
8,,,179,,Axioms
9,,,193,,Atomic Categories
10,,,205,,Connectives
11,,,216,,Connective Synonyms
12,,,240,,Miscellaneous Words
13,,,260,,Redundant Words
14,,,289,,Hard_Coded Symbols
15,,,306,,Numbers
16,,,335,,Determinatives
17,,,369,,Determinative Synonyms
18,,,418,,Pronouns
19,,,448,,"Relations, Nouns, Adverbs and Adjectives"
20,,,1114,,Words not of metaphysical interest
21,,,1127,,Plurals
22,,,1260,,People
23,,,1280,,Alternative Word Forms
24,,,1298,,Definitions used by other philosophers which we reject
25,,,.,,
26,,,.,,Atomic Relations
27,,,.,,
28,1,rat,above,AB,((bIc) x^ (dABb)) & ((bIc) x^ (bABe)) & (c=point)
29,,rb,absorb,AD,(c=boson) & ((bIc) x^ (eADb)) & ((eId) x^ (eADf)) & (d=fermion)
30,1,rat,after ,A,((bIc) x^ (dAb)) & ((bIc) x^ (bAe)) & (c=moment)
31,,rat,after|l,AL,((bIc) x^ (dALb)) & ((bIc) x^ (bALe)) & (c=letter)
32,1,rat,after|n ,G,((bIc) x^ (dGb)) & ((bIc) x^ (bGe)) & (c=number)
33,,rat,and,&,((p&q) t^ (p.qIb)) & (q~Ic) & (rPd) & (b=relationship) & (qb^p&~p) & (c=reality|t) & (rb^p&~q)
34,1,rat,are|a,J,((bJc) x^ (cId)) & ((bJc) t^ (bIe)) & ((bJc) t^ (cIf)) & (d=property) & (e=thing) & (f=adjective)
35,1,rat,are|g ,I,((bIc) x^ (cId)) & ((eIf) x^ (eIg)) & (d=concept|n) & (g=instance)
36,1,rais,at,S,((bIc) x^ (dSb)) & ((dIf) x^ (dSb)) & (c=point) & (f=particle) 
37,1,rat,at|i ,M,((dMb) t^ (dIc)) & ((bIf) x^ (dMb)) & (c=relationship) & (f=imagination) 
38,1,rat,at|n ,N,((bIc) x^ (dNb)) & ((eIf) x^ ((eNh) & (hGg))) & ((jIk) x^ (mNg)) & ((nIo) x^ (nNp)) & (f=whole) & (c=number) & (g=1) & (k=individual) & (p=0) & (o=contradiction) 
39,1,ratab,at|p ,ATC,((dPb) t^ (dIc)) & ((bIf) x^ (dPb)) & (c=relationship) & (f=possible world) 
40,,rat,at|s ,O,((bIc) x^ (dOb)) & ((dIc) x^ (dOb)) & (f=sensation) & (c=point|s) 
41,1,rais,at|t ,T,((dTb) t^ (dIc)) & ((bIf) x^ (dTb)) & (c=relationship) & (f=moment) 
42,,rai,at|y,Z,((bIc) x^ (dZb)) & (c=point|a)
43,1,rai,desire,D,((dDb) t^ ((bIc) & (bJe))) & ((dDb) x^ (dIf)) & (c=relationship) & (f=mind) & (e=open|r)
44,,rb,emit,EM,(c=fermion) & ((bIc) x^ (bEMd)) & (e=boson) & ((dIe) x^ (bEMd))
45,1,rai,has|w ,W,((bIc) x^ (bWd)) & ((dIe) x^ (bWd)) & (d=whole) & (e=part)
46,1,ra,have,H,((bHc) x^ (cId)) & ((bHc) t^ (bIe)) & ((bHc) t^ (cIf)) & (d=property|n) & (e=thing) & (f=noun)
47,1,rats,in front of,F,((bIc) x^ (dFb)) & ((bIc) x^ (bFe)) & (c=point)
48,,rai,in|o,IR,((c=reality|t) x^ (pIRc)) & ((dIe) t^ (d~Ic)) & ((c=reality|t) t^ (cIf)) & ((qIRc) x^ (cWq)) &  (e=thing) & (f=non_relationship) & (g=relationship)
49,,rai,is|v,IV,((bIVc) x^ (bId)) & ((bIVc) x^ (cIf)) & ((bIVc) t^ (bIe)) & (d=property|v) & (f=adverb) & (e=non_whole)
50,,rai,is|y,IZ,((bIZc) x^ (cId)) & ((bIYc) x^ (cIf)) & ((bIYc) t^ (bIe)) & (d=property|d) & (f=determinative) & (e=non_whole)
51,1,rats,left of,L,((bIc) x^ (dLb)) & ((bIc) x^ (bLe)) & (c=point)
52,,rai,think about,TK,((bTKd) t^ (dIc)) & ((bIf) x^ (bTKd)) & (c=relationship) & (f=mind) 
53,,,think about,TK,"e.g.  The major difference between the TK relation and the B relation is that in the sentence: ""I think about the sentence: 'The Big Bang happened'"", it doesn't follow that I think that the 'Big Bang Happened' is true."
