Col1,Col2,Col3,Archives*
,** Mind and Thought,,
,,,
0,It is|a consistent that there is|e a mind which is|a mental,,
,,,
1,It is|a contradictory that there is|e a mind which is|a not mental,,
,,,
,"* Frege wrote: Ideas cannot be seen or touched, cannot be smelled, nor tasted, nor heard. The Thought: An Inquiry.",,
,,,
2,It is|a consistent that no thought smells,,
,,,
3,It is|a contradictory that there is|e a thought which smells,,
,,,
4,It is|a contradictory that some|p thoughts smell,,
,,,
5,It is|a contradictory that there is|e a mind which smells,,
,,,
6,It is|a consistent that no mind smells,,
,,,
7,It is|a contradictory that some|p minds smell,,
,,,
8,It is|a consistent that no thought desires something,,
,,,
9,It is|a contradictory that there is|e a thought which desires something,,
,,,
10,It is|a contradictory that some|p thoughts desire something,,
,,,
,"* Below, we believe thoughts are groups because they are composed of the members relata and relations.",,
,,,
11,It is|a contradictory that no thought is|g a|r group,,
,,,
12,It is|a consistent that there is|e a thought which is|g a|r group,,
,,,
13,It is|a consistent that every thought is|a mental|b,,
,,,
14,It is|a contradictory that there is|e a thought which is|a not mental|b,,
,,,
15,It is|a contradictory that some|p thoughts are|a not mental,,
,,,
16,It is|a contradictory that some|p thoughts are|g moments,,
,,,
17,It is|a consistent that no thought thinks something,,
,,,
18,It is|a contradictory that some|p thoughts think something,,
,,,
19,It is|a contradictory that there is|e a thought which thinks something,,
,,,
20,It is|a consistent that every mind is|a mental,,
,,,
21,It is|a contradictory that no mind is|a mental,,
,,,
22,It is|a contradictory that there is|e a thought which is|a physical,,
,,,
,** Time,,
,,,
23,It is|a consistent that there is|e a moment which exists in|b time,,
,,,
24,It is|a contradictory that there is|e a moment which does not exist in|b time,,
,,,
25,It is|a contradictory that there is|e a moment which is|a physical,,
,,,
26,It is|a contradictory that there is|e a thought which is|g a|r moment,,
,,,
27,It is|a consistent that no thought is|g a|r moment,,
,,,
,**Space,,
,,,
28,It is|a consistent that I do not have a point,,
,,,
29,It is|a contradictory that I have a point,,
,,,
30,It is|a contradictory that there is|e a point which smells,,
,,,
31,It is|a contradictory that some|p points smell,,
,,,
32,It is|a contradictory that there is|e a point which thinks some|p thoughts,,
,,,
33,It is|a contradictory that some|p points think something,,
,,,
34,It is|a contradictory that some|p points have|w members,,
,,,
35,It is|a contradictory that there is|e a point which is|a physical,,
,,,
36,It is|a contradictory that some|p points are|a physical,,
,,,
,"** Individuals, Concepts, Groups, Instances, Classes, Parts, Wholes",,
,,,
,"* In: ""There are more age_classes than grade_classes in the White School."" We just replace this by: ""There are more age_wholes than grade_wholes in the White School, where an age_whole is the individual composed of all pupils in the school who were born during a single calendar year, and a grade_whole is an individual composed of all pupils who receive equally advanced instruction."" (Quine and Goodman)",,
,"* We believe Quine is using words against their conventional use in order to advance his agenda against classes.  He is saying that 'individuals' can be wholes.  In one senses individuals are groups in that I am an individual and I am a group/whole of particles.  In another sense, b is a group iff b is not an individual.  So Quine is just using the word 'whole' which we denote as 'whole|c' in a way that is simply synonymous with class or concept.  ",,
,,,
37,It is|a consistent that no whole|c is|g an|r individual,,
,,,
38,It is|a contradictory that there is|e a whole|c which is|g an|r individual,,
,,,
,"*An example of a whole which is not an individual would be the whole composed of the numbers 2 and 3, and a whole which is an individual would be a person.",,
,,,
39,It is|a consistent that there is|e a whole which is|g not an|r individual,,
,,,
