1,,ma,~,,(~p t^ (pIc)) & (c=relationship) & (qJd) & (qb^p&~p) & (d=contradictory),,,
2,,d,a,,((a bRc) x^ ((dRc) & (dIb) & (dJe))) & (e=indefinite),,,
3,,ra,about,ABT,postponed,,,
4,,rat,above,AB,((bIc) x^ (dABb)) & ((bIc) x^ (bABe)) & (c=point),,,
5,,nun,ada,,((b=ada) t^ ((bIc) & (bId))) & (c=woman) & (d=individual),,,
6,,rat,after ,A,((bIc) x^ (dAb)) & ((bIc) x^ (bAe)) & (c=moment),,,
7,,rat,after|n ,G,((bIc) x^ (dGb)) & ((bIc) x^ (bGe)) & (c=number),,,
8,,ds,an,,(an = a),,,
9,,c,and|c,,(b and|c c R d) x^ (b.cRd),,,
10,,ta,an|r,,redundant,,,
11,,di,any|n,,(b~R any|n c) x^ (bR no c),,,
12,,nsd,anyone,,(anyone = every person),,,
13,,nsd,anything,,(anything = every thing),,,
14,,ta,a|r,,redundant,,,
15,,rat,are|a,J,((bJc) x^ (cId)) & ((bJc) t^ (bIe)) & ((bJc) t^ (cIf)) & (d=property) & (e=thing) & (f=adjective),,,
16,,rat,are|g ,I,((bIc) x^ (cId)) & ((eIf) x^ (eIg)) & (d=concept|n) & (g=instance),,,
17,,nun,aristotle,,((b=aristotle) t^ ((bIc) & (bId))) & (c=man) & (d=individual),,,
18,,rdiaa,as,AS,(as=AS) & (((bASc) & (dRb)) x^ (cRb)),,,
19,,rais,at,S,((bIc) x^ (dSb)) & ((dIf) x^ (dSb)) & (c=point) & (f=particle) ,,,
20,,ra,ate from,ATF,postponed,,,
21,,rat,at|i ,M,((dMb) t^ (dIc)) & ((bIf) x^ (dMb)) & (c=relationship) & (f=imagination) ,,,
22,,rat,at|n ,N,((bIc) x^ (dNb)) & ((eIf) x^ ((eNh) & (hGg))) & ((jIk) x^ (mNg)) & ((nIo) x^ (nNp)) & (f=whole) & (c=number) & (g=1) & (k=individual) & (p=0) & (o=contradiction) ,,,
23,,ratab,at|p ,ATC,((dPb) t^ (dIc)) & ((bIf) x^ (dPb)) & (c=relationship) & (f=possible world) ,,,
24,,rais,at|t ,T,((dTb) t^ (dIc)) & ((bIf) x^ (dTb)) & (c=relationship) & (f=moment) ,,,
25,,na,ball,,postponed,,,
26,,ra,be|a,J,(be|a=J),,,
27,,na,body|c,,(c=body|c) & ((bIc) x^ (((bWd) t^ (dIe)) & (bWf))) & (e=particle),,,
28,,ra,born,BRN,postponed,,,
29,,ra,born|p,BRNP,postponed,,,
30,,ra,breaks,BRK,postponed,,,
31,,ra,broke,BRK,postponed,,,
32,,na,cake,,postponed,,,
33,,na,can hit,,postponed,,,
34,,na,casablanca,,postponed,,,
35,,na,cat,,postponed,,,
36,,aa,caught,,postponed,,,
37,,na,causal role,,postponed,,,
38,,ra,cause,CA,((pCAq) x^ ((bRc INMd Te) t^ ((fQg INMj Th) & (dCTGj) & (hSUTe)))) & (pb^bRc INMd) & (qb^fQg INMj),,,
39,,ns,class,,(class = concept|n),,,
40,,aa,cold,,postponed,,,
41,,rs,composed of,,(composed of = has|w),,,
42,,n,concept|b,,(c=concept|b) & ((bIc) x^ (dHb)) & ((bIc) t^ (bIe)) & (e=non_whole),,,
43,,n,concept|n,,(c=concept|n) & ((bIc) x^ (zIb)) & ((bIc) t^ (bIe)) & (e=non_whole),,,
44,,n,courage,,(b=courage) & ((cHb) x^ (cJd)) & (d=courageous),,,
45,,na,courageous,,postponed,,,
46,,rai,desire,D,((dDb) t^ ((bIc) & (bJe))) & ((dDb) x^ (dIf)) & (c=relationship) & (f=mind) & (e=open|r),,,
47,,rai,desires,D,(desires=D),,,
48,,ta,did,,redundant,,,
49,,rz,distinct from,,(b is|r distinct from c) x^ ~(b = c),,,
50,,ta,do,,redundant,,,
51,,ta,does,,redundant,,,
52,,nc,dog,,(c=dog) & (d=doglike) & ((bIc) x^ (bJd)),,,
53,,ac,doglike,,(c=dog) & (d=doglike) & ((bJd) x^ ((bIc) & (bWe) & (bWg) & (eIh) & (gIk))) & (k=mind) & (h=body|c),,,
54,,na,door,,postponed,,,
55,,ra,drank,DRK,postponed,,,
56,,ra,drink,DRK,postponed,,,
57,,ra,drinks,DRK,postponed,,,
58,,na,earth,,postponed,,,
59,,ra,eat from,ATF,postponed,,,
60,,db,every,,(every bRc) x^ ((zIb) t^ (zRc)),,,
61,,nsd,everyone,,(everyone = every person),,,
62,,r,exist,EX,(exist=EX) & ((bEX) x^ (bJc)) & (c=extant),,,
63,,r,exists,EX,(exists=EX) & ((bEX) x^ (bJc)) & (c=extant),,,
64,,aa,extant,,((bJc) t^ (cId)) & (d=property),,,
65,,n,familial part,,(c=familial part) & (((bIc) & (bOFd)) x^ (bId)),,,
66,,na,family,,postponed,,,
67,,n,female,,(b=male) & (c=female) & ((dJc) t^ (d~Jb)),,,
68,,d,few,,(few b Rc) x^ (((dWe) x^ ((eRc) & (eIb))) & ((fWg) x^ ((g~Rc) & (gIb))) & (dNh) & (fNj) & (jGh) & (dWm) & (mRc) & (mIb) & (fWo) & (o~Rc) & (oIb)),,,
69,,rs,from|b,,(from|b = born|p),,,
70,,rs,greater than,,(greater than = after|n),,,
71,,aa,green,,postponed,,,
72,,ns,group,,(group = whole),,,
73,,na,hamlet,,postponed,,,
74,,ra,has,H,(has=H),,,
75,,r,has|c|r (causal role),HCA,((bHCAc) x^ (bCAc)) & ((bHCAc) t^ (bHc)),,,
76,,r,has|m,HM,(have|m=HM) & ((bHMc) x^ (cIb)),,,
77,,r,has|t,HAT,(have|t = HAT) & ((bHATc) x^ (cTCHb)),,,
78,,rai,has|w ,W,((bIc) x^ (bWd)) & ((dIe) x^ (bWd)) & (d=whole) & (e=part),,,
79,,ra,have,H,((bHc) x^ (cId)) & ((bHc) t^ (bIe)) & ((bHc) t^ (cIf)) & (d=property|n) & (e=thing) & (f=noun),,,
80,,rs,have|m,,(have|m=has|m),,,
81,,r,have|t,HAT,(have|t = HAT) & ((bHATc) x^ (cTCHb)),,,
82,,rai,have|w,W,(have|w=W),,,
83,,p,he,,((he Rb) x^ ((cRb) & (cId) & (cJe))) & (c=he) & (d=person) & (e=male),,,
84,,dc,his,,((his bRc) x^ ((dRc) & (dIb) & (eOWNd) & (eIg) & (eJf))) & (f=male) & (g=person) & (e=he),,,
85,,na,house,,postponed,,,
86,,p,i,,((i Rb) t^ (iId)) & (d=person),,,
87,,ratab,in,IN,((bINc) x^ ((bId) & (cWb))) & (d=point),,,
88,,rats,in front of,F,((bIc) x^ (dFb)) & ((bIc) x^ (bFe)) & (c=point),,,
89,,r,in|b,INB,((bINBc) x^ ((cWb) & (bId))) & (d=moment),,,
90,,aa,indefinite,,(b=indefinite) & ((cJb) x^ ((cJj) & ((kzzzc) t^ (k~Jj)) & ((eId) t^ ((fPg) & (nt+fPh))))) & (f b^ e=c) & (cId),,,
91,,nk,individual,,(b=individual) & ((cIb) x^ ((dIe) t^ ((d~Ic) & (d~Hc) & (d~Jc)))) & (e=thing),,,
92,,a,individual|a,,(c=individual|a) & ((bJc) x^ (bId)) & (d=individual),,,
93,,r,in|m,INM,(bINMc) x^ (((bWd) x^ ((dSe) & (cWe))) & (bWf) & (fSg) & (hWg)),,,
94,,r,in|r,INR,(in|r=INR) & ((bINRc) x^ ((bSd) & (dINc))),,,
95,,n,instance,,(c=instance) & ((bIc) x^ (bId)),,,
96,,n,instance|i,,(c=instance|i) & (((bIc) & (bOFd)) x^ ((bId) & (bIe))) & (e=instance),,,
97,,ns,instances,,(instances=instance),,,
98,,n,integer,,(c=integer) & ((bIc) x^ (bGd)) & ((bIc) x^ (eGb)) & ((bIc) x^ (fNb)) & ((bIc) t^ (bIg)) & (g=non_whole),,,
99,,ra,is,=,,,,
100,,rai,is|a ,J,(is|a=J),,,
101,,ra,is|e,EX,((bEX) x^ (bJc)) & (c=extant),,,
102,,rai,is|g ,I,(is|g=I),,,
103,,ta,is|r,,redundant,,,
104,,de,its|a,,((b R its|a c) x^ ((bRd) & (dIc) & (bHMd) & (bJf))) & (f=sexless),,,
105,,ta,itself|r,,redundant,,,
106,,nun,jessica,,((b=jessica) t^ ((bIc) & (bId))) & (c=woman) & (d=individual),,,
107,,nun,jfk,,((b=jfk) t^ ((bIc) & (bId))) & (c=man) & (d=individual),,,
108,,nun,jim,,((b=jim) t^ ((bIc) & (bId))) & (c=man) & (d=individual),,,
109,,nun,julius caesar,,((b=julius caesar) t^ ((bIc) & (bId))) & (c=man) & (d=individual),,,
110,,n,kennedy,,(b=kennedy) & ((cIb) t^ (bId)) & (d=family),,,
111,,a,kennedy|a,,(b=kennedy|a) & (c=kennedy) & (((eJb) & (fIe)) x^ (fIc)),,,
112,,aa,large,,postponed,,,
113,,rats,left of,L,((bIc) x^ (dLb)) & ((bIc) x^ (bLe)) & (c=point),,,
114,,nun,leibniz,,((b=leibniz) t^ ((bIc) & (bId))) & (c=man) & (d=individual),,,
115,,ra,live,LV,postponed,,,
116,,ra,lives,LV,postponed,,,
117,,na,logic,,postponed,,,
118,,ra,love,LOV,postponed,,,
119,,na,male,,(b=male) & (c=female) & ((dJb) t^ (d~Jc)),,,
120,,n,man,,(b=man) & ((cIb) x^ ((cId) & (cJe))) & (d=person) & (e=male),,,
121,,de,many|d,,(many|d b Rc) x^ (((dWe) x^ ((eRc) & (eIb))) & ((fWg) x^ ((g~Rc) & (gIb))) & (dWm) & (mRc) & (mIb) & (fWo) & (o~Rc) & (oIb)),,,
122,,de,many|n,,(many|n b Rc) x^ (((dWe) x^ ((eRc) & (eIb))) & ((fWg) x^ ((g~Rc) & (gIb))) & (dNh) & (fNj) & (hGj) & (dWm) & (mRc) & (mIb) & (fWo) & (o~Rc) & (oIb)),,,
123,,nun,marilyn,,((b=marilyn) t^ ((bIc) & (bId))) & (c=woman) & (d=individual),,,
124,,na,mars,,natural,,,
125,,a,material,,(c=material) & (d=particle) & ((bJc) x^ (bId)),,,
126,,ns,members,,(members=part),,,
127,,a,mental,,(c=mental) & ((bJc) x^ (bTKd)),,,
128,,a,mental|b,,(c=mental) & ((bJc) x^ (dTKb)),,,
129,,n,mind,,(c=mind) & ((bIc) t^ (bTKz)),,,
130,,ns,minds,,(minds=mind),,,
131,,n,moment,,(c=moment) & ((bIc) x^ (dTb)) & ((bIc) x^ (bAh)) & ((bIc) x^ (eAb)) & ((bIc) t^ (bIf)) & (f=non_whole),,,
132,,ns,moments,,(moments=moment),,,
133,,na,movie,,postponed,,,
134,,na,munich,,postponed,,,
135,,na,murder,,postponed,,,
136,,dc,my,,((my bRc) x^ ((dRc) & (dIb) & (iOWNd))),,,
137,,na,nazi,,postponed,,,
138,,db,no,,(no bRc) x^ ((zIb) t^ (z~Rc)),,,
139,,n,non_whole,,(c=non_whole) & ((bIc) x^ ((dIe) t^ (b~Wd))) & (e=thing),,,
140,,m,not,,(not = ~),,,
141,,rs,not distinct from,,(not distinct from = is),,,
142,,nsd,nothing,,(nothing = no thing),,,
143,,na,now,,(b=now) t^ (cSb),,,
144,,ns,number|i,,(number|i=integer),,,
145,,ns,numbers|i,,(numbers|i = integer),,,
146,,ra,of,OF,postponed,,,
147,,ta,on|r,,redundant,,,
148,,ra,own,OWN,postponed,,,
149,,ra,owns,OWN,postponed,,,
150,,n,part,,(c=part) & ((bIc) x^ (dWb)),,,
